genki|state|jlpt|type|writing|reading|english|swedish
|hidden|n3|other|一方|いっぽう|(1) on the other hand,(2) meanwhile,(3) only, simple, in turn
|hidden|n3|other||いつまでも|forever, for good, eternally, as long as one likes, indefinitely
|hidden|n3|other||いつも|always, usually, every time, never (with neg. verb)
|hidden|n3|other|移動|いどう|removal, migration, movement
|hidden|n3|other|従兄弟|いとこ|cousin (male)
|hidden|n3|other|稲|いね|rice-plant
|hidden|n3|other|居眠り|いねむり|dozing, nodding off
|hidden|n3|other|命|いのち|,life, destiny
|hidden|n3|other|違反|いはん|violation (of law),transgression, infringement, breach
|hidden|n3|other|衣服|いふく|clothes
|hidden|n3|other|居間|いま|living room (western style)
|hidden|n3|other|今に|いまに|before long, even now
|hidden|n3|other|今にも|いまにも|at any time, soon
|hidden|n3|other|否|いや|no, the nose
|hidden|n3|other|以来|いらい|since, henceforth
|hidden|n3|other|依頼|いらい|(1) request, commission, dispatch,(2) dependence, trust
|hidden|n3|other||いらいら|getting nervous, irritation
|hidden|n3|other||いらっしゃい|welcome
|hidden|n3|other|医療|いりょう|medical care, medical treatment
|hidden|n3|other|岩|いわ|rock, crag
|hidden|n3|other|祝い|いわい|celebration, festival
|hidden|n3|other|祝う|いわう|to congratulate, to celebrate
|hidden|n3|other|言わば|いわば|so to speak
|hidden|n3|other||いわゆる|the so-called, so to speak
|hidden|n3|other|印刷|いんさつ|printing
|hidden|n3|other|印象|いんしょう|impression
|hidden|n3|other|引退|いんたい|retire
|hidden|n3|other|引用|いんよう|quotation, citation
|hidden|n3|other|魚|うお|fish
|hidden|n3|other||うがい|gargle, rinse mouth
|hidden|n3|other|伺う|うかがう|(hon) to visit, to ask, to inquire
|hidden|n3|other|受け取る|うけとる|to receive, to get, to accept, to take
|hidden|n3|other|動かす|うごかす|to move, to shift
|hidden|n3|other|兎|うさぎ|rabbit, hare
|hidden|n3|other|牛|うし|cattle, cow
|hidden|n3|other|失う|うしなう|to lose, to part with
|hidden|n3|other|後ろ|うしろ|afterwards, since then, in the future, behind
|hidden|n3|other|嘘|うそ|lie, falsehood, incorrect fact, inappropriate
|hidden|n3|other|疑う|うたがう|to doubt, to distrust, to be suspicious of, to suspect
|hidden|n3|other|内|うち|inside
|hidden|n3|other|宇宙|うちゅう|universe, cosmos, space
|hidden|n3|other|撃つ|うつ|to attack, to defeat, to destroy
|hidden|n3|other|移す|うつす|to remove, to transfer, to infect
|hidden|n3|other|訴える|うったえる|to sue (a person),to resort to, to appeal to
|hidden|n3|other||うなる|to groan, to moan
|hidden|n3|other|奪う|うばう|to snatch away
|hidden|n3|other|馬|うま|(1) horse,(2) promoted bishop (shogi)
|hidden|n3|other|うまい|うまい|be good at, delicious (spoken)
|hidden|n3|other|生まれ|うまれ|birth, birth-place
|hidden|n3|other|梅|うめ|plum, plum-tree, lowest (of a three-tier ranking system)
|hidden|n3|other|裏切る|うらぎる|to betray, to turn traitor to, to double-cross
|hidden|n3|other|得る|うる|to get, to gain, to win
13||n3|adjective|嬉しい|うれしい|happy, glad, pleasant|glad,lycklig
|hidden|n3|other|売れる|うれる|to be sold
|hidden|n3|other|噂|うわさ|rumour, report, gossip, common talk
|hidden|n3|other|運|うん|fortune, luck
|hidden|n3|other|運転|うんてん・する|operation, motion, driving, to drive
|hidden|n3|other|運動|うんどう・する|motion, exercise, to exercise
|hidden|n3|other|柄|え|handle, grip
|hidden|n3|other|永遠|えいえん|eternity, perpetuity, immortality, permanence
|hidden|n3|other|永久|えいきゅう|eternity ,perpetuity, immortality
|hidden|n3|other|影響|えいきょう|influence, effect
|hidden|n3|other|営業|えいぎょう|business, trade, management
|hidden|n3|other|衛星|えいせい|satellite
|hidden|n3|other|栄養|えいよう|nutrition, nourishment
|hidden|n3|other|笑顔|えがお|smiling face
|hidden|n3|other|描く|えがく|to draw, to paint, to sketch, to depict, to describe
|hidden|n3|other|餌|えさ|feed, bait
|hidden|n3|other|得る|える|to get, to gain, to win
|hidden|n3|other|円|えん|circle, money
|hidden|n3|other|縁|えん|relation, connection, ties, fate
|hidden|n3|other|延期|えんき|postponement, adjournment
|hidden|n3|other|演技|えんぎ|acting, performance
|hidden|n3|other|援助|えんじょ|assistance, aid, support
|hidden|n3|other|演説|えんぜつ|speech, address
|hidden|n3|other|演奏|えんそう|musical performance
|hidden|n3|other|遠慮|えんりょ|diffidence, restraint, reserve
|hidden|n3|other|御|お|honourable
|hidden|n3|other|老い|おい|old age, old person, the old, the aged
|hidden|n3|other|追い付く|おいつく|to overtake, to catch up (with)
|hidden|n3|other|王|おう|king, ruler, sovereign, monarch
|hidden|n3|other|追う|おう|to chase, to run after
|hidden|n3|other|王様|おうさま|king
|hidden|n3|other|王子|おうじ|prince
|hidden|n3|other|応じる|おうじる|to respond, to satisfy, to accept, to comply with, to apply for
|hidden|n3|other|横断|おうだん|crossing
|hidden|n3|other|終える|おえる|to finish
|hidden|n3|other|大いに|おおいに|very, much, greatly
|hidden|n3|other|覆う|おおう|to cover, to hide, to conceal, to wrap, to disguise
|hidden|n3|other|大家|おおや|rich family, distinguished family
|hidden|n3|other|丘|おか|hill, height, knoll, rising ground
|hidden|n3|other|沖|おき|open sea
|hidden|n3|other|奥|おく|interior, inner part
|hidden|n3|other|贈る|おくる|to send, to give to, to award to, to confer on
|hidden|n3|other|起こる|おこる|to occur, to happen
|hidden|n3|other|幼い|おさない|very young, childish
|hidden|n3|other|収める|おさめる|to obtain, to reap, to pay, to supply, to accept
|hidden|n3|other||おしゃべり|chattering, talk, idle talk
|hidden|n3|other|汚染|おせん|pollution, contamination
|hidden|n3|other||おそらく|perhaps
|hidden|n3|other|恐れる|おそれる|to fear, to be afraid of
|hidden|n3|other|恐ろしい|おそろしい|terrible, dreadful
|hidden|n3|other|お互い|おたがい|mutual, reciprocal, each other
|hidden|n3|other|穏やか|おだやか|calm, gentle, quiet
|hidden|n3|other|男の人|おとこのひと|man
|hidden|n3|other|劣る|おとる|to fall behind, to be inferior to
|hidden|n3|other|お腹|おなか|stomach, tummy
|hidden|n3|other|鬼|おに|ogre, demon, it (i.e., in a game of tag)
|hidden|n3|other|帯|おび|band (e.g. conduction, valence)
|hidden|n3|other|お昼|おひる|lunch, noon
|hidden|n3|other|溺れる|おぼれる|to be drowned, to indulge in
|hidden|n3|other||おまえ|(fam) you (sing)
|hidden|n3|other||おめでとう|Congratulations!, an auspicious occasion!
|hidden|n3|other|思い出|おもいで|memories, recollections, reminiscence
|hidden|n3|other|主に|おもに|mainly, primarily
|hidden|n3|other|思わず|おもわず|unintentional, spontaneous
|hidden|n3|other|泳ぎ|およぎ|swimming
|hidden|n3|other||およそ|about, roughly, as a rule, approximately
|hidden|n3|other|及ぼす|およぼす|to exert, to cause, to exercise
|hidden|n3|other|居る|おる|to be (animate),to be, to exist
|hidden|n3|other|下す|おろす|to lower, to let go down
|hidden|n3|other|降ろす|おろす|to take down, to launch, to drop
|hidden|n3|other|音|おん|sound, note
|hidden|n3|other|恩|おん|favour, obligation, debt of gratitude
|hidden|n3|other|温暖|おんだん|warmth
|hidden|n3|other|温度|おんど|temperature
|hidden|n3|other|可|か|passable
|hidden|n3|other|課|か|counter for chapters (of a book) section
|hidden|n3|other|会|かい|meeting, assembly, party, association, club
13||n3|counter|回|かい|counter for occurrences|gånger (räknare)
|hidden|n3|other|害|がい|injury, harm, evil influence, damage
|hidden|n3|other|会員|かいいん|member, the membership
|hidden|n3|other|絵画|かいが|picture, paintings
|hidden|n3|other|海外|かいがい|foreign, abroad, overseas
|hidden|n3|other|会計|かいけい|account, finance, accountant
|hidden|n3|other|解決|かいけつ|settlement, solution, resolution
|hidden|n3|other|会合|かいごう|meeting, assembly
|hidden|n3|other|外交|がいこう|diplomacy
|hidden|n3|other|開始|かいし|start, commencement, beginning
|hidden|n3|other|解釈|かいしゃく|explanation, interpretation
|hidden|n3|other|外出|がいしゅつ|outing, going out
|hidden|n3|other|改善|かいぜん|betterment, improvement
|hidden|n3|other|快適|かいてき|pleasant, agreeable, comfortable
|hidden|n3|other|回復|かいふく|recovery (from illness),improvement, rehabilitation, restoration
|hidden|n3|other|飼う|かう|to keep, to raise, to feed
|hidden|n3|other|替える/換える|かえる|to exchange, to interchange, to substitute, to replace
|hidden|n3|other|香り|かおり|aroma, fragrance, scent, smell
|hidden|n3|other|画家|がか|painter, artist
|hidden|n3|other|抱える|かかえる|to hold or carry under or in the arms
|hidden|n3|other|価格|かかく|price, value, cost
|hidden|n3|other|化学|かがく|chemistry
|hidden|n3|other|輝く|かがやく|to shine, to glitter, to sparkle
|hidden|n3|other|係|かかり|official, duty, person in charge
|hidden|n3|other|掛かる|かかる|to take (e.g. time, money, etc),to hang
|hidden|n3|other|罹る|かかる|to suffer from
|hidden|n3|other|鍵|かぎ|key
|hidden|n3|other|限る|かぎる|to restrict,to limit,to confine
15||n3|verb|描く|かく|to draw,to paint,to sketch,to depict,to describe|rita,måla,skissa
15||n3|noun|家具|かぐ|furniture,möbler
|hidden|n3|other|学|がく|learning,scholarship,erudition,knowledge
|hidden|n3|other|額|がく|picture frame
