kll|genki|state|jlpt|type|writing|reading|english
||hidden|n1|other|案じる|あんじる|to be anxious, to ponder
||hidden|n1|other|安静|あんせい|rest
||hidden|n1|other|案の定|あんのじょう|sure enough, as usual
||hidden|n1|other|余り|あんまり|not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema
||hidden|n1|other|依|い|depending on
||hidden|n1|other|良い|いい|good
||hidden|n1|other|伊井|いい|that one, Italy
||hidden|n1|other|否|いいえ|no, nay, yes, well
||hidden|n1|other|いい加減|いいかげん|moderate, right, random, not thorough, vague, irresponsible, halfhearted
||hidden|n1|other|言い訳|いいわけ|excuse, explanation
||hidden|n1|other|家出|いえで|running away from home, leaving home
||hidden|n1|other|家主|いえぬし|landlord
||hidden|n1|other|如何|いかが|how, in what way
||hidden|n1|other|生かす|いかす|to revive, to resuscitate, to make use of
||hidden|n1|other|雷|いかずち|thunder
||hidden|n1|other|如何に|いかに|how?, in what way?, how much?, however, whatever
||hidden|n1|other|如何にも|いかにも|indeed, really, phrase meaning agreement
||hidden|n1|other|怒り|いかり|anger, hatred
||hidden|n1|other|怒る|いかる|to get angry, to be angry
||hidden|n1|other|歪む|いがむ|to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv
||hidden|n1|other|粋|いき|chic, style, purity, essence
||hidden|n1|other|域外|いきがい|outside the area
||hidden|n1|other|意気込む|いきごむ|to be enthusiastic about
||hidden|n1|other|経緯|いきさつ|1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c
||hidden|n1|other|行き違い|いきちがい|misunderstanding, estrangement, disagreement, crossing without meeting, going astray
||hidden|n1|other|行き成り|いきなり|suddenly
||hidden|n1|other|異議|いぎ|objection, dissent, protest
||hidden|n1|other|いく|いく|to come, to orgasm
||hidden|n1|other|軍|いくさ|war, battle, campaign, fight
||hidden|n1|other|戦|いくさ|war, battle, campaign, fight
||hidden|n1|other|育成|いくせい|rearing, training, nurture, cultivation, promotion
||hidden|n1|other|幾多|いくた|many, numerous
||hidden|n1|other|活ける|いける|to arrange (flowers)
||hidden|n1|other|異見|いけん|different opinion, objection
||hidden|n1|other|意向|いこう|intention, idea, inclination
||hidden|n1|other|移行|いこう|switching over to
||hidden|n1|other|いざ|いざ|now, come (now), well, crucial moment
||hidden|n1|other|碑|いしぶみ|stone monument bearing an inscription
||hidden|n1|other|衣装|いしょう|clothing, costume, outfit, garment, dress
||hidden|n1|other|意地|いじ|disposition, spirit, willpower, obstinacy, backbone, appetite
||hidden|n1|other|苛める|いじめる|to tease, to torment, to persecute, to chastise
||hidden|n1|other|移住|いじゅう|migration, immigration
||hidden|n1|other|弄る|いじる|to touch, to tamper with
||hidden|n1|other|何れ|いずれ|where, which, who, anyway, anyhow, at any rate
||hidden|n1|other|異性|いせい|the opposite sex
||hidden|n1|other|遺跡|いせき|historic ruins (remains relics)
||hidden|n1|other|依然|いぜん|still, as yet
||hidden|n1|other|依存|いそん|dependence, dependent, reliance
||hidden|n1|other|委託|いたく|consign (goods (for sale) to a firm), entrust (person with something), commit
