genki,state,jnlp,type,writing,reading,english,swedish
,,n5,other,二人,ふたり,two people
,,n5,other,二日,ふつか,second day of the month
,,n5,other,二日,ふつか,two days
,,n5,other,太い,ふとい,fat
,,n5,other,冬,ふゆ,winter
,,n5,verb,降る,ふる,to fall e.g. rain or snow
,,n5,other,古い,ふるい,old (not used for people)
,,n5,other,ふろ,ふろ,bath
,,n5,other,文章,ぶんしょう,text
,,n5,other,文章,ぶんしょう,sentence
,,n5,other,ページ,ページ,page
,,n5,other,下手,へた,unskillful
,,n5,other,ベッド,ベッド,bed
,,n5,other,ペット,ペット,pet
,,n5,other,部屋,へや,room
,,n5,other,辺,へん,area
,,n5,other,ペン,ペン,pen
,,n5,verb,勉強,べんきょうする,to study
,,n5,other,便利,べんり,convenient
,,n5,other,便利,べんり,useful
,,n5,other,帽子,ぼうし,hat
,,n5,other,ボールペン,ボールペン,ball-point pen
,,n5,other,ほか,ほか,the rest
,,n5,other,ほか,ほか,other
,,n5,other,ポケット,ポケット,pocket
,,n5,other,欲しい,ほしい,want
,,n5,other,ポスト,ポスト,post
,,n5,other,細い,ほそい,thin
,,n5,other,ボタン,ボタン,button
,,n5,other,ホテル,ホテル,hotel
,,n5,other,本,ほん,book
,,n5,other,本棚,ほんだな,bookshelves
,,n5,other,ほんとう,ほんとう,truth
,,n5,other,毎朝,まいあさ,every morning
,,n5,other,毎月,まいげつ,every month
,,n5,other,毎月,まいつき,every month
,,n5,other,毎週,まいしゅう,every week
,,n5,other,毎日,まいにち,every day
,,n5,other,毎年,まいとし,every year
,,n5,other,毎年,まいねん,every year
,,n5,other,毎晩,まいばん,every night
,,n5,other,前,まえ,before
,,n5,verb,曲る,まがる,to bend
,,n5,verb,曲る,まがる,to turn
,,n5,other,まずい,まずい,unpleasant
,,n5,other,また,また,and
,,n5,other,また,また,again
,,n5,other,まだ,まだ,still
,,n5,other,まだ,まだ,yet
,,n5,other,町,まち,city
,,n5,other,町,まち,town
,,n5,verb,待つ,まつ,to wait
,,n5,other,まっすぐ,まっすぐ,straight ahead
,,n5,other,まっすぐ,まっすぐ,direct
,,n5,other,マッチ,マッチ,match
,,n5,other,窓,まど,window
,,n5,other,丸い,まるい,circular
,,n5,other,円い,まるい,round
,,n5,other,丸い,まるい,circular
,,n5,other,円い,まるい,round
,,n5,other,万,まん,ten thousand
,,n5,other,万年筆,まんねんひつ,fountain pen
,,n5,verb,磨く,みがく,to polish
,,n5,verb,磨く,みがく,to brush teeth
,,n5,other,右,みぎ,right side
,,n5,other,短い,みじかい,short
,,n5,other,水,みず,water
13,,n5,noun,店,みせ,shop,affär
,,n5,verb,見せる,みせる,to show
,,n5,other,道,みち,street
,,n5,other,三日,みっか,third day of the month
,,n5,other,三日,みっか,three days
,,n5,other,三つ,みっつ,three
,,n5,other,緑,みどり,green
,,n5,other,皆さん,みなさん,everyone
,,n5,other,南,みなみ,south
,,n5,other,耳,みみ,ear
,,n5,verb,見る 観る,みる,to watch
,,n5,verb,見る 観る,みる,to see
,,n5,other,みんな,みんな,everyone
,,n5,other,六日,むいか,sixth day of the month
,,n5,other,六日,むいか,six days
,,n5,other,向こう,むこう,over there
,,n5,other,難しい,むずかしい,difficult
,,n5,other,六つ,むっつ,six
,,n5,other,村,むら,village
,,n5,other,目,め,eye
,,n5,other,メートル,メートル,metre
,,n5,other,眼鏡,めがね,glasses
,,n5,other,もう,もう,already
,,n5,other,もう一度,もういちど,again
,,n5,other,木曜日,もくようび,Thursday
,,n5,verb,持つ,もつ,to hold
,,n5,other,もっと,もっと,more
,,n5,other,物,もの,thing
,,n5,other,門,もん,gate
,,n5,other,問題,もんだい,problem
,,n5,other,八百屋,やおや,greengrocer
,,n5,other,野菜,やさい,vegetable
,,n5,other,易しい,やさしい,simple
,,n5,other,易しい,やさしい,easy
,,n5,other,安い,やすい,cheap
,,n5,other,休み,やすみ,holiday
,,n5,other,休み,やすみ,rest
,,n5,verb,休む,やすむ,to rest
,,n5,other,八つ,やっつ,eight
,,n5,other,山,やま,mountain
,,n5,verb,やる,やる,to do
,,n5,other,夕方,ゆうがた,evening
,,n5,other,夕飯,ゆうはん,dinner
,,n5,other,郵便局,ゆうびんきょく,post office
,,n5,other,昨夜,ゆうべ,last night
,,n5,other,有名,ゆうめい,famous
,,n5,other,雪,ゆき,snow
,,n5,verb,行く,ゆく,to go
,,n5,other,ゆっくりと,ゆっくりと,slowly
,,n5,other,八日,ようか,eighth day of the month
,,n5,other,八日,ようか,eight days
,,n5,other,洋服,ようふく,western-style clothes
,,n5,other,よく,よく,well
,,n5,other,よく,よく,often
,,n5,other,横,よこ,width
,,n5,other,横,よこ,side
,,n5,other,横,よこ,beside
,,n5,other,四日,よっか,fourth day of the month
,,n5,other,四日,よっか,four days
,,n5,other,四つ,よっつ,four
,,n5,verb,呼ぶ,よぶ,to invite
,,n5,verb,呼ぶ,よぶ,to call out
,,n5,verb,読む,よむ,to read
,,n5,other,夜,よる,night
,,n5,other,夜,よる,evening
,,n5,other,弱い,よわい,weak
,,n5,other,来月,らいげつ,next month
,,n5,other,来週,らいしゅう,next week
,,n5,other,来年,らいねん,next year
,,n5,other,ラジオ,ラジオ,radio
,,n5,other,ラジカセ,ラジカセ,radio cassette player
,,n5,other,ラジオカセット,ラジオカセット,radio cassette player
,,n5,other,りっぱ,りっぱ,splendid
,,n5,other,留学生,りゅうがくせい,overseas student
,,n5,other,両親,りょうしん,both parents
,,n5,other,料理,りょうり,cuisine
,,n5,other,旅行,りょこう,travel
,,n5,other,零,れい,zero
,,n5,other,冷蔵庫,れいぞうこ,refrigerator
,,n5,other,レコード,レコード,record
,,n5,other,レストラン,レストラン,restaurant
,,n5,verb,練習,れんしゅうする,to practice
,,n5,other,廊下,ろうか,corridor
,,n5,other,六,ろく,six
,,n5,other,ワイシャツ,ワイシャツ,business shirt
,,n5,other,若い,わかい,young
,,n5,verb,分かる,わかる,to be understood
,,n5,verb,忘れる,わすれる,to forget
,,n5,other,私,わたくし,(humble) I
,,n5,other,私,わたし,I
,,n5,verb,渡す,わたす,to hand over
,,n5,verb,渡る,わたる,to go across
,,n5,other,悪い,わるい,bad
,,n5,other,より、ほう,より、ほう,Used for comparison.
