genki,state,jnlp,type,writing,reading,english,swedish
,,n5,noun,叔父,おじいさん,grandfather,farfar;morfar
,,n5,verb,教える,おしえる,tell,berätta
,,n5,verb,教える,おしえる,teach,lära ut
,hidden,n5,noun,叔父,おじさん,middle aged gentleman,medelålders man
,hidden,n5,noun,伯父,おじさん,uncle,farbror;morbror
,hidden,n5,noun,叔父,おじさん,middle aged gentleman,medelålders man
,,n5,noun,伯父,おじさん,uncle,farbror;morbror
,hidden,n5,verb,押す,おす,stamp,stämpla
,,n5,verb,押す,おす,push,putta
,hidden,n5,other,遅い,おそい,slow,långsam
,,n5,adjective,遅い,おそい,late,sen
,,n5,noun,お茶,おちゃ,green tea,grönt te
,,n5,noun,お手洗い,おてあらい,bathroom,badrum
,,n5,noun,お父さん,おとうさん,(honorable) father,far (artig)
,,n5,noun,弟,おとうと,younger brother,yngre bror
,,n5,noun,男,おとこ,man,man
,,n5,noun,男の子,おとこのこ,boy,pojke
,,n5,temporal,一昨日,おととい,day before yesterday,iförrgår
,,n5,temporal,一昨年,おととし,year before last,förrförra året
13,,n5,noun,大人,おとな,adult,vuxen
,,n5,noun,おなか,おなか,stomach,mage
,,n5,adjective,同じ,おなじ,same,samma
,,n5,noun,お兄さん,おにいさん,(honorable) older brother,äldre bror
,,n5,noun,お姉さん,おねえさん,(honorable) older sister,äldre syster
,hidden,n5,noun,おばあさん,おばあさん,female senior-citizen,pensionär (kvinna)
,,n5,noun,おばあさん,おばあさん,grandmother,farmor;mormor
,hidden,n5,noun,伯母さん,おばさん,aunt,moster;faster
,,n5,noun,叔母さん,おばさん,aunt,moster;faster
,,n5,noun,お風呂,おふろ,bath,bad
,,n5,noun,お弁当,おべんとう,boxed lunch,bento
,,n5,verb,覚える,おぼえる,remember,komma ihåg
,,n5,noun,おまわりさん,おまわりさん,friendly term for policeman,polisman (familjär)
,,n5,adjective,重い,おもい,heavy,tung
,,n5,adjective,おもしろい,おもしろい,interesting,intressant
,,n5,verb,泳ぐ,およぐ,to swim,simma
,,n5,verb,降りる,おりる,to descend,nedstiga
,hidden,n5,verb,降りる,おりる,to get off,kliva av
,,n5,verb,終る,おわる,to finish,avsluta
,,n5,noun,音楽,おんがく,music,musik
,,n5,other,女,おんな,woman,kvinna
,,n5,noun,女の子,おんなのこ,girl,flicka
,,n5,noun,外国,がいこく,foreign country,främmande land
,,n5,noun,外国人,がいこくじん,foreigner,utlänning
,,n5,noun,会社,かいしゃ,company,företag
,,n5,noun,階段,かいだん,stairs,trappa
,,n5,noun,買い物,かいもの,shopping,shopping
,,n5,verb,買う,かう,buy,köpa
,,n5,verb,返す,かえす,return something,returnera
,,n5,verb,帰る,かえる,go back,återvända
,,n5,verb,かかる,かかる,to take time or money,ta tid eller pengar
,,n5,noun,かぎ,かぎ,key,nyckel
,,n5,verb,書く,かく,write,skriva
1,,n5,noun,学生,がくせい,student,student
,,n5,verb,かける,かける,to call by phone,ringa
,,n5,noun,傘,かさ,umbrella,paraply
,,n5,verb,貸す,かす,lend,låna ut
,,n5,noun,風,かぜ,wind,vind
,,n5,noun,風邪,かぜ,a cold,förkylning
,,n5,noun,家族,かぞく,family,familj
,,n5,noun,方,かた,way of doing,sätt att göra
,,n5,noun,方,かた,person,person
,,n5,noun,学校,がっこう,school,skola
,,n5,noun,カップ,カップ,cup,kopp
,,n5,noun,家庭,かてい,household,hushåll
,,n5,noun,角,かど,a corner,hörn
,,n5,noun,かばん,かばん,basket,korg
,,n5,noun,かばん,かばん,bag,väska
,,n5,noun,花瓶,かびん,a vase,vas
,,n5,noun,紙,かみ,paper,papper
,,n5,noun,カメラ,カメラ,camera,kamera
,,n5,temporal,火曜日,かようび,Tuesday,tisdag
,,n5,adjective,辛い,からい,spicy,kryddstark
,,n5,noun,体,からだ,body,kropp
,,n5,verb,借りる,かりる,borrow,låna
,,n5,adjective,軽い,かるい,light,lätt
13,,n5,noun,カレー,カレー,curry,curry
,,n5,noun,カレンダー,カレンダー,calendar,kalender
,hidden,n5,noun,河,かわ,river,flod
,,n5,noun,川,かわ,river,flod
,,n5,adjective,かわいい,かわいい,cute,söt
,,n5,noun,漢字,かんじ,Chinese character,kinesiskt tecken
,hidden,n5,noun,木,き,wood,trä
,,n5,noun,木,き,tree,träd
,hidden,n5,adjective,黄色,きいろ,yellow,gul
,,n5,adjective,黄色い,きいろい,yellow,gul
,,n5,verb,消える,きえる,disappear,försvinna
,hidden,n5,verb,聞く,きく,ask,fråga
,hidden,n5,verb,聞く,きく,listen to,lyssna på
,,n5,verb,聞く,きく,hear,höra
,,n5,noun,北,きた,north,norr
,,n5,noun,ギター,ギター,guitar,gitarr
,,n5,adjective,汚い,きたない,dirty,smutsig
