genki,state,jlpt,type,writing,reading,english,swedish
,,n4,noun,米,こめ,uncooked rice,ris (råvara)
,,n4,verb,ごらんになる,ごらんになる,(respectful) to see,se (artigt)
,,n4,adverb,これから,これから,after this,från och med nu
,,n4,adjective,怖い,こわい,frightening,skrämmande
,,n4,verb,壊す,こわす,to break,gå sönder
,,n4,verb,壊れる,こわれる,to be broken,vara trasig
,,n4,temporal,今度,こんど,now;next time,nu;nästa gång
,,n4,temporal,今夜,こんや,tonight,i natt
15,,n4,verb,最近,さいきん,latest;nowadays,nyligen;nuförtiden
,,n4,noun,最後,さいご,last;end,sista;slutet
,,n4,temporal,最初,さいしょ,beginning;first,början;först
,,n4,noun,坂,さか,slope;hill,sluttning;kulle
15,,n4,verb,探す,さがす,to look for,titta efter
,,n4,verb,下る,さがる,to get down;to descend,nedstiga
,,n4,noun,盛ん,さかん,popularity,popularitet
,,n4,adjective,盛ん,さかん,prosperous,välmående
,,n4,verb,下げる,さげる,to hang;to lower;to move back,hänga upp;sänka
,,n4,verb,差し上げる,さしあげる,(polite) to give,ge (artigt)
,,n4,verb,さっき,さっき,some time ago,för en tid sedan
,,n4,adjective,寂しい,さびしい,lonely,ensam
,,n4,temporal,さ来月,さらいげつ,the month after next,nästnästa månad
,,n4,temporal,さ来週,さらいしゅう,the week after next,nästnästa vecka
,,n4,verb,騒ぐ,さわぐ,to make noise;to be excited,föra oväsen;vara uppspelta
,,n4,verb,触る,さわる,to touch,nudda;beröra
,,n4,noun,産業,さんぎょう,industry,industri
,,n4,noun,残念,ざんねん,disappointment,besvikelse
,,n4,noun,市,し,city,storstad
,,n4,noun,字,じ,character,tecken
,,n4,noun,試合,しあい,match;game,match
,,n4,noun,仕方,しかた,method,metod
,,n4,noun,試験,しけん,examination,undersökning
,,n4,noun,事故,じこ,accident,olycka
15,,n4,other,地震,じしん,earthquake,jordbävning
,,n4,noun,時代,じだい,era,era
,,n4,noun,下着,したぎ,underwear,underkläder
,hidden,n4,other,しっかり,しっかり,firmly;steadily
,hidden,n4,other,失敗,しっぱい,failure;mistake
,hidden,n4,other,辞典,じてん,dictionary
,hidden,n4,other,品物,しなもの,goods
,hidden,n4,other,しばらく,しばらく,little while
,hidden,n4,other,島,しま,island
,hidden,n4,other,市民,しみん,citizen
,hidden,n4,other,事務所,じむしょ,office
,hidden,n4,other,社会,しゃかい,society;public
,hidden,n4,other,社長,しゃちょう,company president
,hidden,n4,other,自由,じゆう,freedom
15,,n4,other,習慣,しゅうかん,custom;manners,vana;sed
,hidden,n4,other,住所,じゅうしょ,an address;a residence
,hidden,n4,other,柔道,じゅうどう,judo
,hidden,n4,other,十分,じゅうぶん,enough
,hidden,n4,other,趣味,しゅみ,hobby
,hidden,n4,other,紹介,しょうかい,introduction
,hidden,n4,other,小学校,しょうがっこう,elementary school
,hidden,n4,other,小説,しょうせつ,novel
,hidden,n4,other,将来,しょうらい,future;prospects
,hidden,n4,other,食料品,しょくりょうひん,groceries
,hidden,n4,other,女性,じょせい,woman
,hidden,n4,verb,知らせる,しらせる,to notify
15,,n4,verb,調べる,しらべる,to investigate,undersöka
,,n4,noun,人口,じんこう,population,befolkning
,,n4,noun,神社,じんじゃ,Shinto shrine,Shintohelgedom
,,n4,noun,親切,しんせつ,kindness,vänlighet
,,n4,noun,新聞社,しんぶんしゃ,newspaper company,tidningsföretag
,,n4,noun,水泳,すいえい,swimming,simning
,,n4,noun,水道,すいどう,water supply,vattenförsörjning
,,n4,noun,数学,すうがく,mathematics;arithmetic,matematik
,,n4,verb,過ぎる,すぎる,to exceed,överträffa
13,,n4,adjective,凄い,すごい,terrific,fantastisk
,,n4,verb,進む,すすむ,to make progress,göra framsteg
,,n4,adverb,すっかり,すっかり,completely,helt
,,n4,adverb,すっと,すっと,straight;all of a sudden,plötsligt
,,n4,verb,捨てる,すてる,to throw away,kasta iväg
,,n4,noun,砂,すな,sand,sand
,,n4,verb,滑る,すべる,to slide;to slip,glida
,,n4,noun,隅,すみ,corner;nook,hörne,vrå
,,n4,verb,済む,すむ,to finish,avsluta
,,n4,noun,すり,すり,pickpocket,ficktjuv
,,n4,adverb,すると,すると,then,sedan
,,n4,verb,生活する,せいかつする,to live,leva
,,n4,verb,生産する,せいさんする,to produce,producera
1,,n4,noun,政治,せいじ,politics;government,politik
,,n4,noun,西洋,せいよう,western countries,västvärlden
,,n4,noun,世界,せかい,the world,världen
,,n4,noun,席,せき,seat,sittplats
16,,n4,noun,説明,せつめい,explanation,förklaring
,,n4,noun,背中,せなか,back of the body,ryggsidan
,,n4,noun,線,せん,line,linje
,,n4,noun,戦争,せんそう,war,krig
,,n4,adjective,先輩,せんぱい,senior,senior
,,n4,adverb,そう,そう,really,verkligen
,,n4,verb,育てる,そだてる,to rear;to bring up,uppfostra;föda upp
,,n4,noun,卒業,そつぎょう,graduation,promovering
,,n4,noun,祖父,そふ,grandfather,farfar;morfar
,,n4,noun,祖母,そぼ,grandmother,morfar;mormor
,,n4,adverb,それで,それで,because of that,därför att
17,,n4,adverb,それに,それに,moreover,dessutom
,,n4,adverb,それほど,それほど,to that extent,i så måtto
,,n4,adverb,そろそろ,そろそろ,gradually;soon,gradvis
,,n4,adjective,そんな,そんな,that sort of,den typen av
,,n4,adverb,そんなに,そんなに,so much;like that,så mycket;det är lagom
,,n4,verb,退院する,たいいんする,to leave hospital,bli utskriven från sjukhus
1,,n4,noun,大学生,だいがくせい,university student,student
,,n4,adjective,大事,だいじ,important;valuable;serious matter,viktig;värdefull
,,n4,adverb,大体,だいたい,generally,generellt
,,n4,adverb,たいてい,たいてい,usually,vanligtvis
,,n4,adverb,大分,だいぶ,greatly,storligen
16,,n4,noun,台風,たいふう,typhoon,tyfon
,hidden,n4,verb,倒れる,たおれる,to break down
,hidden,n4,other,だから,だから,so;therefore
,hidden,n4,other,確か,たしか,definite
,hidden,n4,verb,足す,たす,to add a number
,hidden,n4,verb,訪ねる,たずねる,to visit
,hidden,n4,verb,尋ねる,たずねる,to ask
,hidden,n4,other,正しい,ただしい,correct
,hidden,n4,other,畳,たたみ,Japanese straw mat
,hidden,n4,verb,立てる,たてる,to stand something up
,,n4,verb,建てる,たてる,to build,bygga
17,,n4,adverb,例えば,たとえば,for example,till exempel
,,n4,noun,棚,たな,shelves,hyllor
,,n4,noun,楽しみ,たのしみ,joy,glädje
,,n4,verb,楽む,たのしむ,to enjoy oneself,underhålla sig själv
,,n4,adverb,たまに,たまに,occasionally,ibland
,,n4,conjunction,為,ため,in order to,för att
17,,n4,verb,足りる,たりる,to be enough,vara tillräckligt
,,n4,noun,男性,だんせい,male,man
,,n4,noun,暖房,だんぼう,heating,uppvärmning
,,n4,noun,血,ち,blood,blod
,,n4,verb,チェックする,チェックする,to check,kontrollera
,hidden,n4,other,力,ちから,strength;power
,hidden,n4,other,ちっとも,ちっとも,not at all (used with a negative verb)
,hidden,n4,other,ちゃん,ちゃん,suffix for familiar person
,hidden,n4,other,注意,ちゅうい,caution
,hidden,n4,other,中学校,ちゅうがっこう,junior high school;middle school
,hidden,n4,other,注射,ちゅうしゃ,injection
,hidden,n4,other,駐車場,ちゅうしゃじょう,parking lot
,hidden,n4,other,地理,ちり,geography
,hidden,n4,verb,捕まえる,つかまえる,to seize
,hidden,n4,verb,付く,つく,to be attached
,hidden,n4,verb,漬ける,つける,to soak;to pickle
,hidden,n4,other,都合,つごう,circumstances;convenience
,hidden,n4,verb,伝える,つたえる,to report
,hidden,n4,verb,続く,つづく,to be continued
,hidden,n4,verb,続ける,つづける,to continue
,hidden,n4,verb,包む,つつむ,to wrap
,hidden,n4,other,妻,つま,my wife
,hidden,n4,other,つもり,つもり,intention
,hidden,n4,verb,釣る,つる,to fish
,hidden,n4,other,丁寧,ていねい,polite
,hidden,n4,other,適当,てきとう,suitability
,hidden,n4,verb,手伝う,てつだう,to assist
,hidden,n4,other,手袋,てぶくろ,glove
,hidden,n4,other,寺,てら,temple
,hidden,n4,other,点,てん,point;dot
,hidden,n4,other,店員,てんいん,shop assistant
,hidden,n4,other,天気予報,てんきよほう,weather forecast
,hidden,n4,other,電灯,でんとう,electric light
,hidden,n4,other,電報,でんぽう,telegram
,hidden,n4,other,展覧会,てんらんかい,exhibition
,hidden,n4,other,都,と,metropolitan
,hidden,n4,other,道具,どうぐ,tool;means
,,n4,adverb,とうとう,とうとう,finally; after all,äntligen;slutligen
17,,n4,noun,動物園,どうぶつえん,zoo,djurpark
,,n4,adverb,遠く,とおく,distant,avlägset
,,n4,verb,通る,とおる,to go through,gå igenom
,,n4,adverb,特に,とくに,particularly;especially,särskilt
,,n4,adjektiv,特別,とくべつ,special,speciell
,,n4,noun,とこや,とこや,barber,frisör;barberare
,,n4,adverb,途中,とちゅう,on the way,på vägen
,,n4,noun,特急,とっきゅう,limited express train (faster than an express train),snälltåg med färre stopp
,,n4,verb,届ける,とどける,to send; to deliver; to report,skicka;leverera;rapportera
,,n4,verb,泊まる,とまる,to lodge at,stanna
,,n4,verb,止める,とめる,to stop something;stoppa
,,n4,verb,取り替える,とりかえる,to exchange,utbyta
,,n4,noun,泥棒,どろぼう,thief,tjuv
,,n4,adverb,どんどん,どんどん,more and more,stadigt ökande
16,hidden,n4,verb,直す,なおす,to fix;to repair
,,n4,verb,直る,なおる,to be fixed;to be repaired,fixas;repareras
,,n4,verb,治る,なおる,to be cured;to heal,bli botad;helas
13,,n4,verb,泣く,なく,to weep,gråta
,,n4,verb,無くなる,なくなる,to disappear;to get lost,försvinna
,,n4,verb,亡くなる,なくなる,to die,dö
,,n4,verb,投げる,なげる,to throw or cast away,slänga;kasta
,,n4,verb,なさる,なさる,(respectful) to do,göra
,,n4,verb,鳴る,なる,to sound,låta
,,n4,adverb,なるべく,なるべく,as much as possible,så mycket som möjligt
,,n4,expression,なるほど,なるほど,now I understand,jag förstår
17,,n4,verb,慣れる,なれる,to grow accustomed to,vänja sig
,,n4,adjective,苦い,にがい,bitter,bitter
,,n4,noun,二階建て,にかいだて,two storied,tvåvåningsbyggnad
,,n4,verb,逃げる,にげる,to escape,fly
,,n4,noun,日記,にっき,journal,journal
,hidden,n4,verb,入院する,にゅういんする,to hospitalise; hospitalisation
,hidden,n4,verb,入学する,にゅうがくする,to enter school or university
,hidden,n4,verb,似る,にる,to be similar
,hidden,n4,other,人形,にんぎょう,doll; figure
,hidden,n4,verb,盗む,ぬすむ,to steal
,hidden,n4,verb,塗る,ぬる,to paint; to colour; to plaster
,hidden,n4,verb,ぬれる,ぬれる,to get wet
,hidden,n4,other,ねだん,ねだん,price
,hidden,n4,other,熱,ねつ,fever
,hidden,n4,other,寝坊,ねぼう,sleeping in late
,hidden,n4,other,眠い,ねむい,sleepy
,hidden,n4,verb,眠る,ねむる,to sleep
,hidden,n4,verb,残る,のこる,to remain
,hidden,n4,verb,乗り換える,のりかえる,to change between buses or trains
,hidden,n4,other,乗り物,のりもの,vehicle
,hidden,n4,other,葉,は,leaf
,hidden,n4,other,場合,ばあい,situation
,hidden,n4,other,倍,ばい,double
,hidden,n4,verb,拝見,はいけん・する,(humble) to look at
,hidden,n4,other,歯医者,はいしゃ,dentist
,hidden,n4,verb,運ぶ,はこぶ,to transport
,hidden,n4,verb,始める,はじめる,to begin
,hidden,n4,other,場所,ばしょ,location
,hidden,n4,other,はず,はず,it should be so
,hidden,n4,other,恥ずかしい,はずかしい,embarrassed
,hidden,n4,other,発音,はつおん,pronunciation
,hidden,n4,other,はっきり,はっきり,clearly
,hidden,n4,other,花見,はなみ,cherry-blossom viewing
,hidden,n4,other,林,はやし,woods;forester
,hidden,n4,verb,払う,はらう,to pay
15,,n4,noun,番組,ばんぐみ,television　program;radio program,program
,,n4,noun,反対,はんたい,opposition,opposition;motstånd
16,,n4,noun,日,ひ,day; sun,dag;sol
,,n4,noun,火,ひ,fire,eld
,,n4,verb,冷える,ひえる,to grow cold,kallna
,,n4,adjective,光,ひかり,light,ljus
,,n4,verb,光る,ひかる,to shine;to glitter,skina,glittra
,,n4,noun,引き出し,ひきだし,drawer;drawing out,låda
,,n4,verb,ひきだす,ひきだす,to withdraw,dra tillbaka
17,,n4,noun,ひげ,ひげ,beard,skägg
,,n4,noun,飛行場,ひこうじょう,airport,flygplats
,,n4,adverb,久しぶり,ひさしぶり,after a long time,efter lång tid
,,n4,noun,美術館,びじゅつかん,art gallery,konstgalleri
,hidden,n4,other,非常に,ひじょうに,extremely
,hidden,n4,verb,引っ越す,ひっこす,to move house
,hidden,n4,other,必要,ひつよう,necessary
,hidden,n4,other,ひどい,ひどい,awful
,hidden,n4,verb,開く,ひらく,to open an event
,hidden,n4,other,昼間,ひるま,daytime;during the day
,hidden,n4,other,昼休み,ひるやすみ,noon break
,hidden,n4,other,拾う,ひろう,to pick up;to gather
,hidden,n4,other,増える,ふえる,to increase
,hidden,n4,other,深い,ふかい,deep
,hidden,n4,other,複雑,ふくざつ,complexity;complication
,hidden,n4,other,復習,ふくしゅう,revision
,hidden,n4,other,部長,ぶちょう,head of a section
,hidden,n4,other,普通,ふつう,usually; or a train that stops at every station
,hidden,n4,other,ぶどう,ぶどう,grapes
,hidden,n4,verb,太る,ふとる,to become fat
,hidden,n4,other,布団,ふとん,Japanese bedding; futon
,hidden,n4,other,舟,ふね,ship
,hidden,n4,other,不便,ふべん,inconvenience
,hidden,n4,verb,踏む,ふむ,to step on
,,n4,verb,降り出す,ふりだす,to start to rain,börja regna
,,n4,noun,文化,ぶんか,culture,kultur
1,,n4,noun,文学,ぶんがく,literature,litteratur
13,,n4,noun,文法,ぶんぽう,grammar,grammatik
,,n4,adjective,別,べつ,different,annorlunda
,hidden,n4,other,変,へん,strange
,hidden,n4,other,返事,へんじ,reply
,hidden,n4,other,貿易,ぼうえき,trade
,hidden,n4,other,法律,ほうりつ,law
,hidden,n4,other,僕,ぼく,I (used by males)
,hidden,n4,other,星,ほし,star
,hidden,n4,other,ほとんど,ほとんど,mostly
,hidden,n4,verb,ほめる,ほめる,to praise
,hidden,n4,other,翻訳,ほんやく,translation
,hidden,n4,verb,参る,まいる,(humble) to go;to come
,hidden,n4,verb,負ける,まける,to lose
,hidden,n4,other,または,または,or;otherwise
,hidden,n4,verb,間違える,まちがえる,to make a mistake
,hidden,n4,verb,間に合う,まにあう,to be in time for
,hidden,n4,other,周り,まわり,surroundings
,hidden,n4,verb,回る,まわる,to go around
,hidden,n4,other,漫画,まんが,comic
,hidden,n4,other,真中,まんなか,middle
15,,n4,verb,見える,みえる,to be in sight,synas
,,n4,noun,湖,みずうみ,lake,sjö
,,n4,noun,味噌,みそ,miso; soybean paste,miso
16,,n4,verb,見つかる,みつかる,to be discovered,upptäckas;hittas
,,n4,verb,見つける,みつける,to discover,upptäcka
,,n4,noun,皆,みな,everybody,alla
,,n4,noun,港,みなと,harbour,hamn
,,n4,verb,向かう,むかう,to face,vända sig mot
,,n4,verb,迎える,むかえる,to go out to meet,välkomna
,,n4,noun,昔,むかし,old times; old days; long ago; formerly,förr i världen
,,n4,noun,虫,むし,insect,insekt
,,n4,noun,息子,むすこ,(humble) son,son (ödmjuk)
,,n4,noun,娘,むすめ,(humble) daughter,dotter (ödmjuk)
,,n4,adjective,無理,むり,impossible,omöjlig
,hidden,n4,verb,召し上がる,めしあがる,(polite) to eat
,hidden,n4,other,珍しい,めずらしい,rare
,hidden,n4,verb,申し上げる,もうしあげる,(humble) to say;to tell
,hidden,n4,verb,申す,もうす,(humble) to be called;to say
,hidden,n4,other,もうすぐ,もうすぐ,soon
,hidden,n4,other,もし,もし,if
,hidden,n4,verb,戻る,もどる,to turn back
,hidden,n4,other,木綿,もめん,cotton
,hidden,n4,other,森,もり,forest
,hidden,n4,verb,焼く,やく,to bake;to grill
13,,n4,noun,約束,やくそく,promise,löfte
,hidden,n4,verb,役に立つ,やくにたつ,to be helpful
,hidden,n4,verb,焼ける,やける,to burn;to be roasted
,hidden,n4,other,優しい,やさしい,kind
,hidden,n4,verb,痩せる,やせる,to become thin
,hidden,n4,other,やっと,やっと,at last
,hidden,n4,verb,止む,やむ,to stop
,hidden,n4,verb,止める,やめる,to stop
,hidden,n4,other,柔らかい,やわらかい,soft
,hidden,n4,other,湯,ゆ,hot water
,hidden,n4,other,指,ゆび,finger
,hidden,n4,other,指輪,ゆびわ,a ring
,hidden,n4,other,夢,ゆめ,dream
,hidden,n4,verb,揺れる,ゆれる,to shake;to sway
,hidden,n4,other,用,よう,use
,hidden,n4,other,用意,ようい,preparation
,hidden,n4,verb,用事,ようじ,things to do
,hidden,n4,verb,汚れる,よごれる,to get dirty
,hidden,n4,other,予習,よしゅう,preparation for a lesson
15,,n4,noun,予定,よてい,arrangement;plan,schema;planering
,,n4,noun,予約,よやく,reservation,reservation
,,n4,verb,寄る,よる,to visit,besöka
,,n4,verb,喜ぶ,よろこぶ,to be delighted,vara nöjd
,,n4,noun,理由,りゆう,reason,anledning
,,n4,verb,利用,りよう,utilization,utnyttjande
,,n4,noun,両方,りょうほう,both sides,båda sidor
15,,n4,noun,旅館,りょかん,Japanese hotel,japanskt hotell
,,n4,noun,留守,るす,absence,frånvaro
