genki,state,jlpt,type,writing,reading,english,swedish
,,n4,interjection,あ,あ,Ah,Ah
,,n4,interjection,ああ,ああ,like that,Aha...
,,n4,adverb,間,あいだ,a space,mellan
,,n4,verb,合う,あう,to match,matcha
,,n4,noun,赤ちゃん,あかちゃん,baby,baby
,,n4,verb,上る,あがる,to rise,stiga
,hidden,n4,noun,赤ん坊,あかんぼう,baby,baby
,,n4,verb,空く,あく,to open; to become empty,öppna;tömmas
,,n4,verb,あげる,あげる,to give,ge
,,n4,adjective,浅い,あさい,shallow; superficial,grund;ytlig
,,n4,noun,味,あじ,flavour,smak
,,n4,temporal,明日,あす・あした,tomorrow,imorgon
,,n4,verb,遊び,あそび,play,leka
,,n4,verb,集る,あつまる,to gather,samla ihop
16,,n4,verb,集める,あつめる,to collect something,samla
,,n4,verb,謝る,あやまる,to apologize,be om ursäkt
,,n4,noun,安心,あんしん,relief,lindring
,,n4,noun,安全,あんぜん,safety,säkerhet
,,n4,adjective,あんな,あんな,such,sådan
,,n4,adverb,以下,いか,less than,mindre än
,,n4,preposition,以外,いがい,with the exception of,förutom
,,n4,noun,医学,いがく,medical science,medicin (vetenskap)
,,n4,verb,生きる,いきる,to live,leva
,,n4,noun,意見,いけん,opinion,åsikt
,,n4,noun,石,いし,stone,sten
,,n4,verb,いじめる,いじめる,to tease,retas
,,n4,adjective,以上,いじょう,more than; this is all,det är allt
,,n4,verb,急ぐ,いそぐ,to hurry,skynda sig
,,n4,verb,致す,いたす,(humble) to do,göra (ödmjuk)
,,n4,adverb,一度,いちど,once,en gång
,,n4,adverb,一生懸命,いっしょうけんめい,with utmost effort,med yttersta ansträngning
,,n4,adjective,いっぱい,いっぱい,full,full
,,n4,noun,糸,いと,thread,tråd
,,n4,preposition,以内,いない,within,inom
,,n4,noun,田舎,いなか,countryside,landsbygd
,,n4,verb,祈る,いのる,to pray,be
,,n4,verb,いらっしゃる,いらっしゃる,(respectful) to be; to come or to go,komma
,,n4,verb,植える,うえる,to plant; to grow,plantera;driva upp
,,n4,noun,受付,うけつけ,receipt,kvitto
,,n4,verb,受ける,うける,to take a lesson;take a test,ta lektioner;göra ett prov
,,n4,verb,動く,うごく,to move,flytta
,,n4,preposition,うち,うち,within,inom
,,n4,verb,打つ,うつ,to hit,träffa
,,n4,adjective,美しい,うつくしい,beautiful,vacker
,,n4,verb,写す,うつす,copy;photograph,fotografera;kopiera
,,n4,verb,移る,うつる,to move house;transfer,flytta;transferera
,hidden,n4,other,腕,うで,arm
,hidden,n4,other,裏,うら,reverse side
,,n4,noun,売り場,うりば,place where things are sold,försäljningsställe
,,n4,interjection,うん,うん,(informal) yes,ja
,,n4,noun,運転手,うんてんしゅ,driver,förare
,,n4,noun,枝,えだ,branch; twig,gren;kvist
17,,n4,verb,選ぶ,えらぶ,to choose,välja
,,n4,verb,遠慮する,えんりょする,to be reserved; to be restrained,vara reserverad
,,n4,verb,おいでになる,おいでになる,(respectful) to be,vara (respektfullt)
,,n4,noun,お祝い,おいわい,congratulation,gratulation
,,n4,adverb,おかげ,おかげ,owing to; thanks to,tack vare
,,n4,adjective,おかしい,おかしい,strange;funny,konstig;rolig
,,n4,numeric,億,おく,one hundred million,hundra miljoner
,,n4,noun,屋上,おくじょう,rooftop,hustak
,,n4,noun,贈り物,おくりもの,gift,gåva
14,,n4,verb,送る,おくる,to send,skicka
,,n4,verb,遅れる,おくれる,to be late,vara sen
16,,n4,verb,起す,おこす,to wake,väcka
,,n4,verb,行う,おこなう,to do,göra
,,n4,verb,怒る,おこる,to get angry; to be angry,bli arg;vara arg
,,n4,noun,押し入れ,おしいれ,closet,skåp
,,n4,noun,お嬢さん,おじょうさん,young lady,ung dam
13,,n4,noun,お宅,おたく,(polite) your house,ditt hus (artigt)
,,n4,verb,落る,おちる,to fall or drop,falla
,,n4,verb,おっしゃる,おっしゃる,(respectful) to say,säga (artig)
,,n4,noun,夫,おっと,husband,man
,,n4,noun,おつり,おつり,change from purchase; balance,växel
,,n4,noun,音,おと,sound; note,ljud;not
,,n4,verb,落す,おとす,to drop,falla
,,n4,noun,踊り,おどり,a dance,dans
,,n4,verb,踊る,おどる,to dance,dansa
,,n4,verb,驚く,おどろく,to be surprised,vara överaskad
,,n4,noun,お祭り,おまつり,festival,festival
,,n4,noun,お見舞い,おみまい,calling on someone who is ill; enquiry,sjukbesök
,,n4,noun,お土産,おみやげ,souvenir,souvenir
,,n4,verb,思い出す,おもいだす,to remember,komma ihåg
,,n4,verb,思う,おもう,to think; to feel,tänka;tycka;tro
,,n4,noun,おもちゃ,おもちゃ,toy,leksak
,,n4,verb,表,おもて,the front,framsidan
16,,n4,noun,親,おや,parents,förälder
,,n4,noun,泳ぎ方,およぎかた,way of swimming,simsätt
,,n4,verb,下りる,おりる,to get off; to descend,nedstiga
,,n4,verb,折る,おる,to break;to fold,bryta av;vika
,,n4,noun,お礼,おれい,expression of gratitude,tack
,,n4,verb,折れる,おれる,to break;be folded,brytas;vika sig
,,n4,noun,終わり,おわり,the end,slutet
,,n4,noun,海岸,かいがん,coast,kust
,,n4,noun,会議,かいぎ,meeting,möte
,,n4,noun,会議室,かいぎしつ,meeting room,mötesrum
,,n4,noun,会場,かいじょう,assembly hall;meeting place,aula;mötesplats
,,n4,noun,会話,かいわ,conversation,konversation
,,n4,noun,帰り,かえり,return,återkomst;avkastning
,,n4,verb,変える,かえる,to change,byta
,,n4,noun,科学,かがく,science,vetenskap
,,n4,noun,鏡,かがみ,mirror,spegel
,,n4,verb,掛ける,かける,to hang something,häng upp
,,n4,verb,飾る,かざる,to decorate,dekorera
17,,n4,noun,火事,かじ,fire,eld
,,n4,noun,ガス,ガス,gas,gas
,,n4,adjective,堅い;硬い;固い,かたい,hard
,,n4,noun,形,かたち,shape,form
,,n4,verb,片付ける,かたづける,to tidy up,städa upp
,,n4,noun,課長,かちょう,section manager,sektionschef
,,n4,verb,勝つ,かつ,to win,vinna
,,n4,noun,家内,かない,housewife,hemmafru
13,,n4,adjective,悲しい,かなしい,sad,ledsen
,,n4,adverb,必ず,かならず,certainly;necessarily,förvisso
,,n4,other,お・金持ち,かねもち/おかねもち,rich man,rikeman
,hidden,n4,other,彼女,かのじょ,she;girlfriend
,hidden,n4,other,壁,かべ,wall
,hidden,n4,other,髪,かみ,hair
,hidden,n4,verb,噛む,かむ,to bite;to chew
,hidden,n4,verb,通う,かよう,to commute
,hidden,n4,other,彼,かれ,he;boyfriend
,hidden,n4,verb,乾く,かわく,to get dry
,hidden,n4,other,代わり,かわり,substitute;alternate
,hidden,n4,verb,変わる,かわる,to change
,hidden,n4,verb,考える,かんがえる,to consider
,hidden,n4,other,関係,かんけい,relationship
,hidden,n4,other,看護師,かんごし,nurse
,hidden,n4,other,簡単,かんたん,simple
,hidden,n4,other,気,き,spirit;mood
,hidden,n4,other,機会,きかい,opportunity
,hidden,n4,other,危険,きけん,danger
,hidden,n4,verb,聞こえる,きこえる,to be heard
,hidden,n4,other,汽車,きしゃ,steam train
,hidden,n4,other,技術,ぎじゅつ,art;technology;skill
,hidden,n4,other,季節,きせつ,season
,hidden,n4,other,規則,きそく,regulations
,hidden,n4,other,きっと,きっと,surely
,hidden,n4,other,絹,きぬ,silk
13,,n4,adjective,厳しい,きびしい,strict,sträng
,,n4,noun,気分,きぶん,mood,känsla
,,n4,verb,決る,きまる,to be decided,bli beslutat
,,n4,pronoun,君,きみ,(informal) You, Du (vardaglig)
,,n4,verb,決める,きめる,to decide,besluta
,,n4,noun,気持ち,きもち,feeling;mood,känsla
13,,n4,noun,着物,きもの,kimono,kimono
,hidden,n4,other,客,きゃく,guest;customer
,hidden,n4,other,急,きゅう,urgent; steep
,hidden,n4,other,急行,きゅうこう,speedy; express
,hidden,n4,other,教育,きょういく,education
,hidden,n4,other,教会,きょうかい,church
,hidden,n4,other,競争,きょうそう,competition
,hidden,n4,other,興味,きょうみ,an interest
,hidden,n4,other,近所,きんじょ,neighbourhood
,hidden,n4,other,具合,ぐあい,condition;health
,hidden,n4,other,空気,くうき,air;atmosphere
,,n4,noun,空港,くうこう,airport,flygplats
,,n4,noun,草,くさ,grass,gräs
,,n4,noun,首,くび,neck,nacke
,,n4,noun,雲,くも,cloud,moln
17,,n4,verb,比べる,くらべる,to compare,jämföra
,hidden,n4,verb,くれる,くれる,to give
,hidden,n4,verb,暮れる,くれる,to get dark;to come to an end
,,n4,suffix,君,くん,suffix for familiar young male,unge herr
,,n4,noun,毛,け,hair;fur,hår;päls
1,,n4,noun,経済,けいざい,finance;economy,ekonomi;finans
,,n4,noun,警察,けいさつ,police,polis
,,n4,noun,景色,けしき,scene;landscape,landskap
,,n4,noun,消しゴム,けしゴム,eraser,radergummi
,,n4,noun,下宿,げしゅく,lodging,vandrarhem
,,n4,adverb,決して,けっして,never,aldrig
,,n4,adverb,けれど;けれども,けれど;けれども,however,dock
,,n4,noun,原因,げんいん,cause;source,anledning;källa
,,n4,verb,けんかする,けんかする,to quarrel,gräla
16,,n4,noun,研究,けんきゅう,research,forskning
,,n4,noun,研究室,けんきゅうしつ,study room;laboratory,läsrum;labb
,,n4,noun,見物,けんぶつ,sightseeing,sightseeing
,,n4,noun,子,こ,child,barn
,,n4,adverb,こう,こう,this way,så här
,,n4,noun,郊外,こうがい,outskirts,ytterområden
,,n4,noun,講義,こうぎ,lecture,föreläsning
,,n4,noun,工業,こうぎょう,the manufacturing industry,den tillverkande industrin
1,,n4,noun,高校,こうこう,high school,gymnasium
1,,n4,noun,高校生,こうこうせい,high school student,gymnasieelev
,,n4,noun,工場,こうじょう/こうば,factory;plant;mill;workshop,fabrik
,,n4,noun,校長,こうちょう,headmaster,rektor
,,n4,noun,交通,こうつう,traffic;transportation,trafik;transport
,,n4,noun,講堂,こうどう,auditorium,hörsal
,,n4,noun,高等学校,こうとうがっこう,high school,gymnasium
,,n4,noun,公務員,こうむいん,civil servant; government worker,offentlig tjänsteman;statsanställd
,,n4,noun,国際,こくさい,international,internationell
,,n4,noun,心,こころ,heart; mind; core,hjärta;sinne
,,n4,noun,御主人,ごしゅじん,(honorable) your husband,man (hedervärd)
,,n4,verb,故障,こしょうする,to break-down,gå sönder
,,n4,verb,ご存じ,ごぞんじ,(respect form ) to know,veta (respektfull)
,,n4,noun,答,こたえ,response,svar
,,n4,noun,ごちそう,ごちそう,a feast,fest
,,n4,noun,小鳥,ことり,small bird,småfågel
,,n4,adverb,この間,このあいだ,the other day;recently,häromdagen;nyligen
,,n4,adverb,このごろ,このごろ,these days;nowadays,dessa dagar
,,n4,adjective,細かい,こまかい,small; fine,liten
17,,n4,verb,込む,こむ,to include;be crowded,inkludera;vara fullt
