kll,genki,state,jlpt,type,writing,reading,english,swedish
,,,n5,verb,並ぶ,ならぶ,to stand in a line,köa
,,hidden,n5,verb,並ぶ,ならぶ,to line up,ställa sig på led
,,,n5,verb,並べる,ならべる,to set up,sätta upp
,,hidden,n5,verb,並べる,ならべる,to line up,ställa upp
,,,n5,verb,なる,なる,to become,bli
,1,,n5,pronoun,何,なに,what,vad
,1,hidden,n5,pronoun,何,なん,what,vad
,,,n5,numeric,二,に,two,två
,,,n5,adjective,賑やか,にぎやか,busy,upptagen
,,,n5,adjective,賑やか,にぎやか,bustling,livlig
,,,n5,noun,肉,にく,meat,kött
,,,n5,noun,西,にし,west,väst
,,,n5,noun,日曜日,にちようび,Sunday,söndag
,,,n5,noun,荷物,にもつ,luggage,baggage
,17,,n5,noun,ニュース,ニュース,news,nyheter
,15,,n5,noun,庭,にわ,garden,trädgård
,17,,n5,verb,脱ぐ,ぬぐ,to take off clothes,ta av sig
,,,n5,adjective,温い,ぬるい,luke warm,ljummet
,14,,n5,noun,ネクタイ,ネクタイ,necktie;tie,slips
,,,n5,noun,猫,ねこ,cat,katt
,,,n5,verb,寝る,ねる,to sleep,sova
,,,n5,verb,寝る,ねる,to go to bed,lägga sig
,,,n5,noun,ノート,ノート,exercise book,övningsbok
,,,n5,noun,ノート,ノート,notebook,antecknigsbok
,,,n5,verb,登る,のぼる,to climb,klättra
20,,,n5,noun,飲み物,のみもの,a drink,drink
,,,n5,verb,飲む,のむ,to drinks,dricka
,,,n5,verb,乗る,のる,to ride,åka med
,,,n5,verb,乗る,のる,to get on,borda
,,,n5,noun,歯,は,tooth,tand
,,,n5,noun,パーティー,パーティー,party,fest
,1,,n5,interjection,はい,はい,yes,ja
,,,n5,noun,灰皿,はいざら,ashtray,askkopp
,,,n5,verb,入る,はいる,to contain,innehålla
,,,n5,verb,入る,はいる,to enter,gå in
,,,n5,noun,葉書,はがき,postcard,vykort
,,hidden,n5,verb,はく,はく,to put on trousers,ta på sig byxor
,,,n5,verb,はく,はく,to wear,ha på sig
,,,n5,noun,箱,はこ,box,låda
,,,n5,noun,橋,はし,bridge,bro
,,,n5,noun,はし,はし,chopsticks,ätpinnar
17,,,n5,verb,始まる,はじまる,to begin,börja
,,,n5,noun,初め,はじめ,beginning,början
,,hidden,n5,noun,始め,はじめ,beginning,början
,,,n5,adverb,初めて,はじめて,for the first time,första gången
,,,n5,verb,走る,はしる,to run,springa
,,,n5,noun,バス,バス,bus,buss
,,,n5,noun,バター,バター,butter,smör
,,,n5,noun,二十歳,はたち,20th year,20:e året
,,,n5,adverb,二十歳,はたち,20 years old,20 år gammal
17,,,n5,verb,働く,はたらく,to work,arbeta
,,,n5,numeric,八,はち,eight,åtta
,,,n5,noun,二十日,はつか,twentieth,20:e (i månad)
,,,n5,noun,二十日,はつか,twenty days,20 dagar
,,,n5,noun,花,はな,flower,blomma
,,,n5,noun,鼻,はな,nose,näsa
,,,n5,noun,話,はなし,story;talk,berättelse;historia
,,,n5,verb,話す,はなす,to speak,prata
,,,n5,adjective,早い,はやい,early,tidig
,,,n5,adjective,速い,はやい,quick,snabb
,,,n5,noun,春,はる,spring,vår
,,,n5,verb,貼る,はる,to stick,fästa
,,,n5,noun,晴れ,はれ,clear weather,klart väder
,,,n5,verb,晴れる,はれる,to be sunny,vara soligt
,1,,n5,noun,半,はん,half,halv
,,,n5,noun,晩,ばん,evening,kväll
,,,n5,noun,パン,パン,bread,bröd
,,,n5,noun,ハンカチ,ハンカチ,handkerchief,näsduk
,1,,n5,noun,番号,ばんごう,number,nummer
,,,n5,noun,晩御飯,ばんごはん,evening meal,kvällsmål
,,,n5,noun,半分,はんぶん,half minute,en halv minut
,,,n5,noun,東,ひがし,east,öst
16,,,n5,verb,引く,ひく,to pull,dra
,,,n5,verb,弾く,ひく,to play an instrument with strings including piano,spela (stränginstrument)
15,,,n5,adjective,低い,ひくい,low,låg
15,,hidden,n5,adjective,低い,ひくい,short,kort
,,,n5,noun,飛行機,ひこうき,aeroplane,flygplan
,,,n5,noun,左,ひだり,left hand side,vänster
,,,n5,noun,人,ひと,person,person
,,,n5,numeric,一つ,ひとつ,one,en
,,,n5,noun,一月,ひとつき,one month,en månad
,,,n5,noun,一人,ひとり,one person,en person
,,,n5,noun,暇,ひま,free time,fritid
,,,n5,numeric,百,ひゃく,hundred,hundra
,,,n5,noun,病院,びょういん,hospital,sjukhus
,,,n5,noun,病気,びょうき,illness,sjukdom
,,,n5,noun,昼,ひる,daytime,dagtid
,,,n5,noun,昼,ひる,noon,middag (12)
,,,n5,noun,昼御飯,ひるごはん,midday meal,lunch
,15,,n5,adjective,広い,ひろい,wide;spacious,vid;rymlig
,,,n5,noun,フィルム,フィルム,roll of film,filmrulle
,,,n5,noun,封筒,ふうとう,envelope,kuvert
,15,,n5,noun,プール,プール,swimming pool,pool
,,,n5,noun,フォーク,フォーク,fork,gaffel
,,,n5,verb,吹く,ふく,to blow,blåsa
,,,n5,noun,服,ふく,clothes,kläder
,,,n5,numeric,二つ,ふたつ,two,två
,,,n5,noun,豚肉,ぶたにく,pork,fläskkött
,,,n5,noun,二人,ふたり,two people,två personer
,,,n5,noun,二日,ふつか,second day of the month,2:a (månad)
,,,n5,noun,二日,ふつか,two days,två dagar
15,,,n5,adjective,太い,ふとい,fat,fet
,,,n5,noun,冬,ふゆ,winter,vinter
,,,n5,verb,降る,ふる,to fall e.g. rain or snow,falla (nederbörd)
,,,n5,adjective,古い,ふるい,old (not used for people),gammal
,,,n5,noun,ふろ,ふろ,bath,bad
,,,n5,noun,文章,ぶんしょう,text,text
,,,n5,noun,文章,ぶんしょう,sentence,mening
,,,n5,noun,ページ,ページ,page,sida
,,,n5,adjective,下手,へた,unskillful,oskicklig
,,,n5,noun,ベッド,ベッド,bed,säng
,15,,n5,noun,ペット,ペット,pet,husdjur
,,,n5,noun,部屋,へや,room,rum
,,,n5,noun,辺,へん,area,område
,,,n5,noun,ペン,ペン,pen,penna
,,,n5,verb,勉強,べんきょうする,to study,studera
,,,n5,adjective,便利,べんり,convenient,bekväm
,,hidden,n5,adjective,便利,べんり,useful,användbar
,,,n5,noun,帽子,ぼうし,hat,hatt;mössa
,,,n5,noun,ボールペン,ボールペン,ball-point pen,kulspetspenna
,,,n5,noun,ほか,ほか,the rest,resten
,,hidden,n5,noun,ほか,ほか,other,annan
,,,n5,noun,ポケット,ポケット,pocket,ficka
,14,,n5,adjective,欲しい,ほしい,wanted,önskad
,,,n5,noun,ポスト,ポスト,post,post
,,,n5,adjective,細い,ほそい,thin,tunn
,,,n5,noun,ボタン,ボタン,button,knapp
,,,n5,noun,ホテル,ホテル,hotel,hotell
,,,n5,noun,本,ほん,book,bok
,,,n5,noun,本棚,ほんだな,bookshelves,bokhylla
,,,n5,noun,ほんとう,ほんとう,truth,sanning
,,,n5,noun,毎朝,まいあさ,every morning,varje morgon
,,,n5,noun,毎月,まいげつ,every month,varje månad
,,,n5,noun,毎月,まいつき,every month,varje månad
,,,n5,noun,毎週,まいしゅう,every week,varje vecka
,,,n5,noun,毎日,まいにち,every day,varje dag
,,,n5,noun,毎年,まいとし,every year,varje år
,,,n5,noun,毎年,まいねん,every year,varje år
,,,n5,noun,毎晩,まいばん,every night,varje natt
,17,,n5,adverb,前,まえ,before,innan
,,,n5,verb,曲る,まがる,to bend,böja
,,,n5,verb,曲る,まがる,to turn,vrida
,,,n5,adjective,まずい,まずい,unpleasant,obehaglig
,,,n5,conjunction,また,また,and,och
,,,n5,adverb,また,また,again,igen
,,,n5,adverb,まだ,まだ,still,fortfarande
,,,n5,adverb,まだ,まだ,yet,ännu
,,,n5,noun,町,まち,city,storstad
,,,n5,noun,町,まち,town,stad
,,,n5,verb,待つ,まつ,to wait,vänta
,,,n5,adjective;adverb,まっすぐ,まっすぐ,straight ahead,rakt fram
,,,n5,adjective;adverb,まっすぐ,まっすぐ,direct,rak
,,,n5,noun,マッチ,マッチ,match,match
,,,n5,noun,窓,まど,window,fönster
,,hidden,n5,adjective,丸い,まるい,circular,cirkulär
,,hidden,n5,adjective,円い,まるい,round,rund
,,hidden,n5,adjective,円い,まるい,circular,cirkulär
,,,n5,adjective,丸い,まるい,round,rund
,,,n5,numeric,万,まん,ten thousand,tiotusen
,,,n5,noun,万年筆,まんねんひつ,fountain pen,reservoirpenna
,13,hidden,n5,verb,磨く,みがく,to polish,polera
,13,,n5,verb,磨く,みがく,to brush teeth,borsta tänderna
,,,n5,adjective,右,みぎ,right side,höger
15,,,n5,adjective,短い,みじかい,short,kort
,,,n5,noun,水,みず,water,vatten
,13,,n5,noun,店,みせ,shop,affär
,16,,n5,verb,見せる,みせる,to show,visa
,16,,n5,noun,道,みち,street,gata
,,hidden,n5,noun,三日,みっか,third day of the month,3:e (månad)
,,,n5,noun,三日,みっか,three days,tre dagar
,,,n5,numeric,三つ,みっつ,three,tre
,,,n5,adjective,緑,みどり,green,grön
,14,,n5,noun,皆さん,みなさん,everyone,alla
,,,n5,noun,南,みなみ,south,syd
,,,n5,noun,耳,みみ,ear,öra
,,hidden,n5,verb,見る 観る,みる,to watch,titta
,,,n5,verb,見る 観る,みる,to see,se
,,,n5,noun,みんな,みんな,everyone,alla
,,,n5,noun,六日,むいか,sixth day of the month,6:e (månad)
,,,n5,noun,六日,むいか,six days,sex dagar
,,,n5,adverb,向こう,むこう,over there,där borta
,,,n5,adjective,難しい,むずかしい,difficult,svårt
,,,n5,numeric,六つ,むっつ,six,sex
,,,n5,noun,村,むら,village,by
,,,n5,noun,目,め,eye,öga
,,,n5,noun,メートル,メートル,metre,meter
,,,n5,noun,眼鏡,めがね,glasses,glasögon
,,,n5,adverb,もう,もう,already,redan
,15,,n5,adverbial,もう一度,もういちど,again,igen
,,,n5,noun,木曜日,もくようび,Thursday,torsdag
,,,n5,verb,持つ,もつ,to hold,hålla
,,,n5,adjective,もっと,もっと,more,mer
20,,,n5,noun,物,もの,thing,sak
,,,n5,noun,門,もん,gate,port;grind
,,,n5,noun,問題,もんだい,problem,problem
,,,n5,noun,八百屋,やおや,greengrocer,grönsaksaffär
,,,n5,noun,野菜,やさい,vegetable,grönsak
,,hidden,n5,adjective,易しい,やさしい,simple,enkel
,,,n5,adjective,易しい,やさしい,easy,lätt
,,,n5,adjective,安い,やすい,cheap,billig
,,hidden,n5,noun,休み,やすみ,holiday,semester
,,,n5,noun,休み,やすみ,rest,vila
,,,n5,verb,休む,やすむ,to rest,vila
,,,n5,numeric,八つ,やっつ,eight,åtta
,,,n5,noun,山,やま,mountain,berg
,,,n5,verb,やる,やる,to do,göra
,18,,n5,noun,夕方,ゆうがた,evening,kväll
,,,n5,noun,夕飯,ゆうはん,dinner,middag
,,,n5,noun,郵便局,ゆうびんきょく,post office,postkontor
,,,n5,noun,昨夜,ゆうべ,last night,igår kväll
17,,,n5,adjective,有名,ゆうめい,famous,berömd
,,,n5,noun,雪,ゆき,snow,snö
,,,n5,verb,行く,ゆく,to go,gå
,,,n5,adverb,ゆっくりと,ゆっくりと,slowly,långsamt
,,,n5,noun,八日,ようか,eighth day of the month,8:e (månad)
,,,n5,numeric,八日,ようか,eight days,8 dagar
,,,n5,noun,洋服,ようふく,western-style clothes,kläder (från väst)
,14,,n5,adverb,よく,よく,well,bra
,,hidden,n5,adverb,よく,よく,often,ofta
,,hidden,n5,noun,横,よこ,width,bredd
,,hidden,n5,noun,横,よこ,side,sida
,,,n5,preposition,横,よこ,beside,vid sidan av
,,,n5,numeric,四日,よっか,fourth day of the month,4:e (månad)
,,,n5,numeric,四日,よっか,four days,fyra dagar
,,,n5,numeric,四つ,よっつ,four,fyra
,,,n5,verb,呼ぶ,よぶ,to invite,bjuda in
,,,n5,verb,呼ぶ,よぶ,to call out,ropa ut
,,,n5,verb,読む,よむ,to read,läsa
,,,n5,noun,夜,よる,night;evening,natt;kväll
15,,,n5,adjective,弱い,よわい,weak,svag
,,,n5,temporal,来月,らいげつ,next month,nästa månad
,,,n5,temporal,来週,らいしゅう,next week,nästs vecka
,,,n5,temporal,来年,らいねん,next year,nästa år
,14,,n5,noun,ラジオ,ラジオ,radio,radio
,,,n5,noun,ラジカセ,ラジカセ,radio cassette player,bandspelare
,,hidden,n5,noun,ラジオカセット,ラジオカセット,radio cassette player,bandspelare
,,,n5,adjective,立派,りっぱ,splendid,utmärkt
17,1,,n5,noun,留学生,りゅうがくせい,overseas student,utlandsstudent
,14,,n5,noun,両親,りょうしん,both parents,båda föräldrar
,,,n5,noun,料理,りょうり,cuisine,kök
20,,,n5,noun,旅行,りょこう,travel,resande
,,,n5,numeric,零,れい,zero,noll
,18,,n5,noun,冷蔵庫,れいぞうこ,refrigerator,kylskåp
,,,n5,noun,レコード,レコード,record,skiva
,,,n5,noun,レストラン,レストラン,restaurant,resturang
,,,n5,verb,練習,れんしゅうする,to practice,öva
,,,n5,noun,廊下,ろうか,corridor,korridor
,,,n5,numeric,六,ろく,six,sex
,,,n5,noun,ワイシャツ,ワイシャツ,business shirt,skjorta
,,,n5,adjective,若い,わかい,young,ung
,,,n5,verb,分かる,わかる,to be understood,bli förstådd
,,,n5,verb,忘れる,わすれる,to forget,glömma
,13,,n5,noun,私,わたくし,(humble) I,jag (ödmjuk)
,1,,n5,noun,私,わたし,I,jag
,,,n5,verb,渡す,わたす,to hand over,lämna över
,,,n5,verb,渡る,わたる,to go across,korsa
15,,,n5,adjective,悪い,わるい,bad,dålig
,,,n5,particle,より、ほう,より、ほう,Used for comparison.,än (jämförelse)
