kll|genki|state|jlpt|type|writing|reading|english
||hidden|n3|other|贈る|おくる|to send, to give to, to award to, to confer on
||hidden|n3|other|起こる|おこる|to occur, to happen
||hidden|n3|other|幼い|おさない|very young, childish
||hidden|n3|other|収める|おさめる|to obtain, to reap, to pay, to supply, to accept
||hidden|n3|other|おしゃべり|おしゃべり|chattering, talk, idle talk
||hidden|n3|other|汚染|おせん|pollution, contamination
||hidden|n3|other|おそらく|おそらく|perhaps
||hidden|n3|other|恐れる|おそれる|to fear, to be afraid of
||hidden|n3|other|恐ろしい|おそろしい|terrible, dreadful
||hidden|n3|other|お互い|おたがい|mutual, reciprocal, each other
||hidden|n3|other|穏やか|おだやか|calm, gentle, quiet
||hidden|n3|other|拡大|かくだい|magnification, enlargement
||hidden|n3|other|確認|かくにん|affirmation, confirmation
||hidden|n3|other|学問|がくもん|scholarship, study, learning
||hidden|n3|other|隠れる|かくれる|to hide, to be hidden, to conceal oneself, to disappear
||hidden|n3|other|影|かげ|shade, shadow, other side
||hidden|n3|other|陰|かげ|shade,shadow,other side
||hidden|n3|other|欠ける|かける|to be lacking
||hidden|n3|other|加減|かげん|addition and subtraction,allowance for
||hidden|n3|other|過去|かこ|the past,bygone days,the previous
||hidden|n3|other|籠|かご|basket,cage
||hidden|n3|other|囲む|かこむ|to surround,to encircle
||hidden|n3|other|火災|かさい|conflagration,fire
||hidden|n3|other|菓子|かし|pastry
||hidden|n3|other|家事|かじ|housework,domestic chores
||hidden|n3|other|賢い|かしこい|wise,clever,smart
||hidden|n3|other|歌手|かしゅ|singer
||hidden|n3|other|数|かず|number,figure
||hidden|n3|other|稼ぐ|かせぐ|to earn income,to labor
||hidden|n3|other|数える|かぞえる|to count
||hidden|n3|other|型|かた|mold,model,style,shape,data-type
||hidden|n3|other|肩|かた|shoulder
||hidden|n3|other|硬い|かたい|solid,hard (esp. metal, stone),unpolished writing
||hidden|n3|other|方々|かたがた|persons,this and that,here and there,everywhere
||hidden|n3|other|計|かたち|shape, form
||hidden|n3|other|刀|かたな|sword,saber,knife,engraving tool
||hidden|n3|other|語る|かたる|to talk,to tell,to recite
||hidden|n3|other|勝ち|かち|win,victory
||hidden|n3|other|価値|かち|value,worth,merit
||hidden|n3|other|がっかり|がっかり|feel disappointed,be dejected,lose heart
||hidden|n3|other|活気|かっき|energy,liveliness
||hidden|n3|other|学期|がっき|term (school)
||hidden|n3|other|格好|かっこう|shape,form,posture,suitability,appearance
||hidden|n3|other|活動|かつどう|action,activity
||hidden|n3|other|活用|かつよう|conjugation,practical use
||hidden|n3|other|観客|かんきゃく|audience,spectator(s)
||hidden|n3|other|環境|かんきょう|environment,circumstance
||hidden|n3|other|歓迎|かんげい|welcome,reception
||hidden|n3|other|観光|かんこう|sightseeing
||hidden|n3|other|観察|かんさつ|observation,survey
||hidden|n3|other|感じ|かんじ|feeling,sense,impression
||hidden|n3|other|感謝|かんしゃ|thanks,gratitude
||hidden|n3|other|患者|かんじゃ|a patient
||hidden|n3|other|勘定|かんじょう|calculation,counting,consideration
||hidden|n3|other|感情|かんじょう|emotion(s),feeling(s),sentiment
||hidden|n3|other|感じる|かんじる|to feel,to sense,to experience
||hidden|n3|other|感心|かんしん|admiration,Well done!
||hidden|n3|other|関心|かんしん|concern,interest
||hidden|n3|other|関する|かんする|to concern,to be related
||hidden|n3|other|完成|かんせい|(1) complete,completion,(2) perfection,accomplishment
||hidden|n3|other|完全|かんぜん|perfection,completeness
||hidden|n3|other|感動|かんどう|being deeply moved,excitement,impression,deep emotion
||hidden|n3|other|監督|かんとく|supervision,control,superintendence
||hidden|n3|other|管理|かんり|control,management (e.g. of a business)
||hidden|n3|other|完了|かんりょう|completion,conclusion
||hidden|n3|other|関連|かんれん|relation,connection,relevance
||hidden|n3|other|議員|ぎいん|member of the Diet, congress or parliament
||hidden|n3|other|記憶|きおく|memory,recollection,remembrance
||hidden|n3|other|気温|きおん|temperature
||hidden|n3|other|機械|きかい|machine,mechanism
||hidden|n3|other|議会|ぎかい|Diet,congress,parliament
||hidden|n3|other|期間|きかん|period,term
||hidden|n3|other|機関|きかん|organ,mechanism,facility,engine
||hidden|n3|other|企業|きぎょう|enterprise,undertaking
||hidden|n3|other|効く|きく|to be effective
||hidden|n3|other|機嫌|きげん|humour,temper,mood
||hidden|n3|other|気候|きこう|climate
||hidden|n3|other|岸|きし|bank,coast,shore
||hidden|n3|other|生地|きじ|birthplace
||hidden|n3|other|記事|きじ|article,news story,report,account
||hidden|n3|other|技師|ぎし|engineer,technician
||hidden|n3|other|記者|きしゃ|reporter
||hidden|n3|other|傷|きず|wound,injury,hurt,cut
||hidden|n3|other|期待|きたい|expectation,anticipation,hope
||hidden|n3|other|帰宅|きたく|returning home
||hidden|n3|other|貴重|きちょう|precious,valuable
||hidden|n3|other|議長|ぎちょう|chairman
||hidden|n3|other|きちんと|きちんと|precisely,accurately
||hidden|n3|other|きつい|きつい|tight,close,intense
||hidden|n3|other|気付く|きづく|to notice,to recognize,to become aware of
||hidden|n3|other|気に入る|きにいる|to be pleased with,to suit
||hidden|n3|other|記入|きにゅう|entry,filling in of forms
||hidden|n3|other|記念|きねん|commemoration,memory
||hidden|n3|other|機能|きのう|function,faculty
||hidden|n3|other|気の毒|きのどく|pitiful,a pity
||hidden|n3|other|寄付|きふ|contribution,donation
