genki|state|type|writing|reading|english|swedish
1||noun|日本語|にほんご|Japanese (language)|japanska
1||expression|そうです|そうです|that's right|så är det
1||expression|そうですか|そうですか|is that so|på så vis
1||noun|イギリス|イギリス|United Kingdom|Storbritannien
1||noun|オーストラリア|オーストラリア|Australia|Australien
1||noun|韓国|かんこく|Korea|Korea
1||noun|スウェーデン|スウェーデン|Sweden|Sverige
1||noun|中国|ちゅうごく|China|Kina
1||noun|アジア研究|アジアけんきゅう|Asian studies|Asienstudier
1||noun|国際関係|こくさいかんけい|International relations|Internationalla relationer
1||noun|人類学|じんるいがく|anthropology|antropologi
1||noun|会社員|かいしゃいん|company employee|företagsanställd
1||noun|大学院生|だいがくいんせい|graduate student|doktorand
|hidden|other||||
|hidden|other||||
|hidden|other||||
|hidden|other||||
|hidden|other||||
|hidden|other||||
|hidden|other||||
